cycle,branch,state,district,forecastdate,expression,name_D1,name_D2,name_D3,name_D4,name_I1,name_R1,name_R2,name_R3,name_R4,name_O1,winner_D1,winner_D2,winner_D3,winner_D4,winner_R1,winner_R2,winner_R3,winner_R4,winner_I1,winner_O1,winner_Dparty,winner_Rparty,tipping,vpi,mean_predicted_turnout,p90_simmed_turnout_gross,p10_simmed_turnout_gross,voteshare_mean_D1,voteshare_mean_D2,voteshare_mean_D3,voteshare_mean_D4,voteshare_mean_I1,voteshare_mean_R1,voteshare_mean_R2,voteshare_mean_R3,voteshare_mean_R4,voteshare_mean_O1,p90_voteshare_simmed_I1,p90_voteshare_simmed_O1,p90_voteshare_simmed_D1,p90_voteshare_simmed_R1,p90_voteshare_simmed_D2,p90_voteshare_simmed_R2,p90_voteshare_simmed_R3,p90_voteshare_simmed_R4,p90_voteshare_simmed_D3,p90_voteshare_simmed_D4,p10_voteshare_simmed_I1,p10_voteshare_simmed_O1,p10_voteshare_simmed_D1,p10_voteshare_simmed_R1,p10_voteshare_simmed_D2,p10_voteshare_simmed_R2,p10_voteshare_simmed_R3,p10_voteshare_simmed_R4,p10_voteshare_simmed_D3,p10_voteshare_simmed_D4,pvi_538,vep,elasticity,mean_netpartymargin,p90_netpartymargin,p10_netpartymargin,wonrunoff_D1,lostrunoff_D1,wonrunoff_D2,lostrunoff_D2,wonrunoff_D3,lostrunoff_D3,wonrunoff_D4,lostrunoff_D4,wonrunoff_R1,lostrunoff_R1,wonrunoff_R2,lostrunoff_R2,wonrunoff_R3,lostrunoff_R3,wonrunoff_R4,lostrunoff_R4,wonrunoff_I1,lostrunoff_I1,simulations,timestamp
2022,Senate,Wisconsin,WI-S3,9/28/22,_lite,Mandela Barnes,"","","","",Ron Johnson,"","","","",.5299,0,0,0,.4701,0,0,,0,0,.5299,.4701,.09985,3.211518,2399686,2748798,2058091,50.21922,0,0,0,0,49.78078,0,0,0,0,0,0,54.09897,53.65833,0,0,0,0,0,0,0,0,46.34167,45.90103,0,0,0,0,0,0,-3.823667,4351464,1.045602,.4384384,8.197933,-7.316662,,,,,,,,,,,,,,,,,,,40000,11:12:19 28 Sep 2022
2022,Senate,Washington,WA-S3,9/28/22,_lite,Patty Murray,"","","","",Tiffany Smiley,"","","","",.909525,0,0,0,.090475,0,0,,0,0,.909525,.090475,.0430125,1.251284,2653112,3058912,2259341,54.76831,0,0,0,0,45.23169,0,0,0,0,0,0,59.40501,49.78922,0,0,0,0,0,0,0,0,50.21078,40.59499,0,0,0,0,0,0,14.23072,5346645,1.059068,9.536613,18.81003,.4215546,,,,,,,,,,,,,,,,,,,40000,11:12:19 28 Sep 2022
2022,Senate,Vermont,VT-S3,9/28/22,_lite,Peter Welch,"","","","",Gerald Malloy,"","","",all others,.91045,0,0,0,.08955,0,0,,0,0,.91045,.08955,.0311,9.033822,265708.5,307435.3,224653.5,53.09894,0,0,0,0,41.36088,0,0,0,5.540183,0,9.492736,59.07765,47.2552,0,0,0,0,0,0,0,2.208249,47.18702,35.31368,0,0,0,0,0,0,27.77288,503792,1.154198,11.73806,23.10109,.5726261,,,,,,,,,,,,,,,,,,,40000,11:12:19 28 Sep 2022
2022,Senate,Utah,UT-S3,9/28/22,_lite,"","","","",Evan McMullin,Mike Lee,"","","",all others,0,0,0,0,.81675,0,0,,.18325,0,.1374,.8626,.0207875,1.650636,972003.3,1132667,815273,0,0,0,0,40.84655,48.14941,0,0,0,11.00404,46.81821,16.83276,0,53.98462,0,0,0,0,0,0,34.94827,5.822687,0,42.11823,0,0,0,0,0,0,-26.29008,2145495,1.112615,-7.30286,3.190784,-17.57545,,,,,,,,,,,,,,,,,,,40000,11:12:19 28 Sep 2022
2022,Senate,South Dakota,SD-S3,9/28/22,_lite,Brian L. Bengs,"","","",Tamara J. Lesnar,John R. Thune,"","","","",.0128,0,0,0,.987175,0,0,,.000025,0,.0128,.9872,.0007625,.1889866,311404.9,362485.4,261131.1,37.81697,0,0,0,3.874759,58.30827,0,0,0,0,7.053261,0,43.58282,64.0981,0,0,0,0,0,0,1.299842,0,32.0301,52.51647,0,0,0,0,0,0,-32.01005,647453,1.026199,-20.4913,-9.391893,-31.60631,,,,,,,,,,,,,,,,,,,40000,11:12:19 28 Sep 2022
2022,Senate,South Carolina,SC-S3,9/28/22,_lite,Krystle Matthews,"","","","",Tim Scott,"","","","",.0237,0,0,0,.9763,0,0,,0,0,.0237,.9763,.0019375,.0895479,1669948,1942567,1401860,41.24709,0,0,0,0,58.75291,0,0,0,0,0,0,46.60116,64.14745,0,0,0,0,0,0,0,0,35.85256,53.39884,0,0,0,0,0,0,-18.29783,3897996,.9588062,-17.50581,-6.797676,-28.29488,,,,,,,,,,,,,,,,,,,40000,11:12:19 28 Sep 2022
2022,Senate,Pennsylvania,PA-S3,9/28/22,_lite,John Fetterman,"","","","",Mehmet Oz,"","","",all others,.8942,0,0,0,.1058,0,0,,0,0,.8942,.1058,.0672125,1.105029,4694539,5375830,4019518,52.596,0,0,0,0,45.18394,0,0,0,2.220059,0,4.310437,56.49519,49.16358,0,0,0,0,0,0,0,.5819091,48.59221,41.28256,0,0,0,0,0,0,-2.976064,9742133,.9917317,7.412052,14.89735,-.188015,,,,,,,,,,,,,,,,,,,40000,11:12:19 28 Sep 2022
2022,Senate,Oregon,OR-S3,9/28/22,_lite,Ron Wyden,"","","","",Jo Rae Perkins,"","","",all others,.971225,0,0,0,.028775,0,0,,0,0,.971225,.028775,.007525,.3590043,1617795,1860430,1379330,58.31004,0,0,0,0,36.69537,0,0,0,4.994596,0,8.715681,65.50375,43.93971,0,0,0,0,0,0,0,1.890328,51.04041,29.46038,0,0,0,0,0,0,10.62213,3113975,.979912,21.61467,35.47429,7.682127,,,,,,,,,,,,,,,,,,,40000,11:12:19 28 Sep 2022
2022,Senate,Oklahoma,OK-S3,9/28/22,_lite,Madison Horn,"","","","",James Lankford,"","","",all others,.0024,0,0,0,.9976,0,0,,0,0,.0024,.9976,.0001375,.0091629,1158204,1359721,960673.3,36.42595,0,0,0,0,60.3062,0,0,0,3.267853,0,6.062317,41.52689,65.46126,0,0,0,0,0,0,0,1.027983,31.26387,55.13861,0,0,0,0,0,0,-36.97133,2842656,.9560909,-23.88025,-14.01322,-33.75597,,,,,,,,,,,,,,,,,,,40000,11:12:19 28 Sep 2022
2022,Senate,Ohio,OH-S3,9/28/22,_lite,Tim Ryan,"","","","",J.D. Vance,"","","","",.5283,0,0,0,.4717,0,0,,0,0,.5283,.4717,.1038375,1.922365,4169029,4796960,3546176,50.20125,0,0,0,0,49.79875,0,0,0,0,0,0,53.91466,53.48326,0,0,0,0,0,0,0,0,46.51674,46.08534,0,0,0,0,0,0,-12.10777,8831240,1.020508,.4024963,7.829311,-6.966515,,,,,,,,,,,,,,,,,,,40000,11:12:19 28 Sep 2022
